PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,RoomService_flag,FoodCourt_flag,ShoppingMall_flag,Spa_flag,VRDeck_flag,AgeGroup,Cabin_deck,Cabin_number,Cabin_side,RoomService_log,FoodCourt_log,ShoppingMall_log,Spa_log,VRDeck_log,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True
0001_01,B/0/P,0.7309293576988989,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,False,False,False,False,False,2,1,0,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,1.0,0.0,0.0,0.0,1.0,0.0
0002_01,F/0/S,-0.3333513877495833,102.5,9.0,25.0,132.5,44.0,Juanna Vines,True,True,True,True,True,True,1,5,0,1,1.6599881514855173,0.3784946993672289,1.22915825693281,1.6337032672736165,1.2491588907380693,0.0,0.0,0.0,0.0,1.0,0.0
0003_01,A/0/S,2.079018301933643,43.0,152.5,0.0,132.5,49.0,Altark Susent,False,True,True,False,True,True,3,0,0,1,1.2306069300328493,1.6398144712583225,-0.6631569583773093,1.6337032672736165,1.3024980811087004,1.0,0.0,0.0,0.0,1.0,1.0
0003_02,A/0/S,0.305217059519506,0.0,152.5,55.0,132.5,100.0,Solam Susent,False,False,True,True,True,True,1,0,0,1,-0.6689654335610383,1.6398144712583225,1.674783051214332,1.6337032672736165,1.6584440612154845,1.0,0.0,0.0,0.0,1.0,0.0
0004_01,F/1/S,-0.9009677853221072,102.5,70.0,55.0,132.5,2.0,Willy Santantines,True,True,True,True,True,True,0,5,1,1,1.6599881514855173,1.2837315263727231,1.674783051214332,1.6337032672736165,-0.1218025582256391,0.0,0.0,0.0,0.0,1.0,0.0
0005_01,F/0/P,1.0856896061817265,0.0,152.5,0.0,132.5,0.0,Sandie Hinetthews,True,False,True,False,True,False,2,5,0,0,-0.6689654335610383,1.6398144712583225,-0.6631569583773093,1.6337032672736165,-0.6779795059457159,0.0,0.0,0.0,1.0,0.0,0.0
0006_01,F/2/S,-0.1914472883564523,42.0,152.5,3.0,0.0,0.0,Billex Jacostaffey,True,True,True,True,False,False,1,5,2,1,1.2190667437058866,1.6398144712583225,0.1420082298951118,-0.7007850980470789,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0006_02,G/0/S,-0.0495431889633214,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,False,False,False,False,False,1,6,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,1.0,0.0,1.0,0.0
0007_01,F/3/S,0.447121158912637,0.0,152.5,17.0,132.5,0.0,Andona Beston,True,False,True,True,True,False,1,5,3,1,-0.6689654335610383,1.6398144712583225,1.0155822660567784,1.6337032672736165,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0008_01,B/1/P,-1.042871884715238,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,False,False,False,False,False,0,1,1,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,1.0,0.0,1.0,0.0,0.0,0.0
0008_02,B/1/P,0.3761691092160715,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,False,False,False,False,False,1,1,1,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,1.0,0.0,1.0,0.0,1.0,0.0
0008_03,B/1/P,1.1566416558782917,39.0,152.5,55.0,110.0,100.0,Wezena Flatic,True,True,True,True,True,True,2,1,1,0,1.1827635075196925,1.6398144712583225,1.674783051214332,1.5456626944375425,1.6584440612154845,1.0,0.0,0.0,0.0,0.0,0.0
0009_01,F/1/P,0.2342650098229405,73.0,0.0,55.0,0.0,100.0,Berers Barne,True,True,False,True,False,True,1,5,1,0,1.4915719319235348,-0.684915519595842,1.674783051214332,-0.7007850980470789,1.6584440612154845,0.0,1.0,0.0,0.0,1.0,0.0
0010_01,G/1/S,1.3694978049679882,102.5,1.0,55.0,0.0,24.0,Reney Baketton,False,True,True,True,False,True,2,6,1,1,1.6599881514855173,-0.3647971459923554,1.674783051214332,-0.7007850980470789,0.951589496541547,0.0,0.0,0.0,0.0,1.0,0.0
0011_01,F/2/P,-0.0495431889633214,8.0,152.5,12.0,2.0,7.0,Elle Bertsontry,True,True,True,True,True,True,1,5,2,0,0.4339885638567609,1.6398144712583225,0.8265756627965994,-0.1767465962901013,0.3747462477557445,0.0,0.0,0.0,0.0,1.0,0.0
0012_01,G/734/S,0.163312960126375,32.0,0.0,55.0,0.0,0.0,Justie Pooles,False,True,False,True,False,False,1,6,734,1,1.086197434950283,-0.684915519595842,1.674783051214332,-0.7007850980470789,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0014_01,F/3/P,-0.1204952386598868,102.5,122.0,0.0,0.0,0.0,Flats Eccle,False,True,True,False,False,False,1,5,3,0,1.6599881514855173,1.537510932571969,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,1.0,0.0,0.0,0.0,0.0
0015_01,F/4/P,-0.3333513877495833,0.0,1.0,0.0,0.0,100.0,Carry Hughriend,False,False,True,False,False,True,1,5,4,0,-0.6689654335610383,-0.3647971459923554,-0.6631569583773093,-0.7007850980470789,1.6584440612154845,0.0,0.0,0.0,0.0,0.0,0.0
0016_01,F/5/P,1.1566416558782917,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,False,False,False,False,False,2,5,5,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,1.0,1.0,0.0,1.0,0.0
0017_01,G/0/P,-2.036200580467155,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,False,False,False,False,False,4,6,0,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0017_02,F/6/P,-1.042871884715238,102.5,0.0,1.0,0.0,100.0,Philda Brighttt,False,True,False,True,False,True,0,5,6,0,1.6599881514855173,-0.684915519595842,-0.2605743642410987,-0.7007850980470789,1.6584440612154845,0.0,0.0,0.0,0.0,0.0,0.0
0020_01,E/0/S,-1.9652485307705891,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,False,False,False,False,False,0,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,1.0,0.0,1.0,0.0
0020_02,E/0/S,1.4404498546645537,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,False,False,False,False,False,2,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,1.0,0.0,0.0,0.0
0020_03,E/0/S,0.021408860733244,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,False,False,False,False,False,1,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,1.0,0.0,0.0,0.0
0020_04,E/0/S,-1.3266800835015,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,False,False,False,False,False,0,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0020_05,E/0/S,-1.9652485307705891,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,False,False,False,False,False,0,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,1.0,1.0,0.0,0.0
0020_06,E/0/S,-1.5395362325911963,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,False,False,False,False,False,0,4,0,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0022_01,D/0/P,-0.5462075368392798,102.5,2.0,55.0,0.0,0.0,Alraium Disivering,False,True,True,True,False,False,1,3,0,0,1.6599881514855173,-0.1775399016424707,1.674783051214332,-0.7007850980470789,-0.6779795059457159,0.0,1.0,0.0,0.0,1.0,0.0
0024_01,C/2/S,2.3628265007199047,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,False,False,False,False,False,3,2,2,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,1.0,0.0,1.0,0.0,1.0,0.0
0025_01,F/6/S,-0.9719198350186726,0.0,152.5,0.0,132.5,0.0,Karard Brookenson,False,False,True,False,True,False,0,5,6,1,-0.6689654335610383,1.6398144712583225,-0.6631569583773093,1.6337032672736165,-0.6779795059457159,0.0,0.0,0.0,0.0,1.0,0.0
0026_01,C/0/P,0.3761691092160715,22.0,152.5,0.0,132.5,100.0,Anyoni Unconary,False,True,True,False,True,True,1,2,0,0,0.9049774009634514,1.6398144712583225,-0.6631569583773093,1.6337032672736165,1.6584440612154845,1.0,0.0,0.0,0.0,0.0,0.0
0028_01,F/8/P,1.0147375564851608,102.5,0.0,55.0,48.0,0.0,Ceros Mare,False,True,False,True,True,False,2,5,8,0,1.6599881514855173,-0.684915519595842,1.674783051214332,1.1556147430668482,-0.6779795059457159,0.0,1.0,0.0,0.0,1.0,0.0
0030_01,G/4/S,0.2342650098229405,0.0,152.5,55.0,132.5,100.0,Ginia Morsentley,False,False,True,True,True,True,1,6,4,1,-0.6689654335610383,1.6398144712583225,1.674783051214332,1.6337032672736165,1.6584440612154845,0.0,0.0,0.0,0.0,1.0,0.0
0031_01,F/9/P,1.2985457552714228,102.5,0.0,55.0,0.0,100.0,Coobix Datie,True,True,False,True,False,True,2,5,9,0,1.6599881514855173,-0.684915519595842,1.674783051214332,-0.7007850980470789,1.6584440612154845,0.0,1.0,0.0,0.0,1.0,0.0
0031_02,F/9/P,-1.894296481074024,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,False,False,False,False,False,0,5,9,0,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,0.0,1.0,0.0,0.0,1.0,0.0
0031_03,F/9/P,-0.6171595865358452,0.0,0.0,55.0,132.5,0.0,Dontch Datie,True,False,False,True,True,False,1,5,9,0,-0.6689654335610383,-0.684915519595842,1.674783051214332,1.6337032672736165,-0.6779795059457159,0.0,1.0,0.0,0.0,1.0,0.0
0034_01,D/1/S,-0.0495431889633214,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,False,False,False,False,False,1,3,1,1,-0.6689654335610383,-0.684915519595842,-0.6631569583773093,-0.7007850980470789,-0.6779795059457159,1.0,0.0,1.0,0.0,0.0,0.0
